"Area","Date","Daily-Confirmed","Daily-Deceased","Daily-Recovered","Daily-Tested","Daily-Vaccinated1","Daily-Vaccinated2","7DMA-Confirmed","7DMA-Deceased","Total-Confirmed","Total-Deceased","Total-Recovered","Total-Tested","Total-Others","Total-Vaccinated1","Total-Vaccinated2"
"INDIA","2020-01-30","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"INDIA","2020-02-02","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"INDIA","2020-02-03","1","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"INDIA","2020-02-14","0","0","3","0","0","0","0","0","3","0","3","0","0","0","0"
"INDIA","2020-03-02","2","0","0","0","0","0","2","0","5","0","3","0","0","0","0"
"INDIA","2020-03-03","1","0","0","0","0","0","3","0","6","0","3","0","0","0","0"
"INDIA","2020-03-04","22","0","0","0","0","0","25","0","28","0","3","0","0","0","0"
"INDIA","2020-03-05","2","0","0","0","0","0","27","0","30","0","3","0","0","0","0"
"INDIA","2020-03-06","1","0","0","0","0","0","28","0","31","0","3","0","0","0","0"
"INDIA","2020-03-07","3","0","0","0","0","0","31","0","34","0","3","0","0","0","0"
"INDIA","2020-03-08","5","0","0","0","0","0","36","0","39","0","3","0","0","0","0"
"INDIA","2020-03-09","9","0","0","0","0","0","43","0","48","0","3","0","0","0","0"
"INDIA","2020-03-10","15","0","0","0","0","0","57","0","63","0","3","0","0","0","0"
"INDIA","2020-03-11","8","0","0","0","0","0","43","0","71","0","3","0","0","0","0"
"INDIA","2020-03-12","10","0","0","0","0","0","51","0","81","0","3","0","0","0","0"
"INDIA","2020-03-13","10","1","0","6500","0","0","60","1","91","1","3","6500","0","0","0"
"INDIA","2020-03-14","11","0","0","0","0","0","68","1","102","1","3","6500","3","0","0"
"INDIA","2020-03-15","10","0","0","0","0","0","73","1","112","1","3","6500","3","0","0"
"INDIA","2020-03-16","14","0","0","0","0","0","78","1","126","1","3","6500","3","0","0"
"INDIA","2020-03-17","20","0","0","0","0","0","83","1","146","1","3","6500","3","0","0"
"INDIA","2020-03-18","25","0","0","6625","0","0","100","1","171","1","3","13125","3","0","0"
"INDIA","2020-03-19","27","0","0","1050","0","0","117","1","198","1","3","14175","3","0","0"
"INDIA","2020-03-20","58","0","1","1229","0","0","165","0","256","1","4","15404","3","0","0"
"INDIA","2020-03-21","78","0","0","1507","0","0","232","0","334","1","4","16911","3","0","0"
"INDIA","2020-03-22","69","0","0","1216","0","0","291","0","403","1","4","18127","3","0","0"
"INDIA","2020-03-23","94","0","0","2580","0","0","371","0","497","1","4","20707","3","0","0"
"INDIA","2020-03-24","74","0","2","1987","0","0","425","0","571","1","6","22694","3","0","0"
"INDIA","2020-03-25","86","0","0","2450","0","0","486","0","657","1","6","25144","3","0","0"
"INDIA","2020-03-26","73","1","0","2544","0","0","532","1","730","2","6","27688","3","0","0"
"INDIA","2020-03-27","153","1","2","0","0","0","627","2","883","3","8","27688","3","0","0"
"INDIA","2020-03-28","136","0","0","0","0","0","685","2","1019","3","8","27688","3","0","0"
"INDIA","2020-03-29","120","25","91","0","0","0","736","27","1139","28","99","27688","3","0","0"
"INDIA","2020-03-30","187","13","42","10754","0","0","829","40","1326","41","141","38442","3","0","0"
"INDIA","2020-03-31","309","6","19","4346","0","0","1064","46","1635","47","160","42788","3","0","0"
"INDIA","2020-04-01","424","11","9","5163","0","0","1402","57","2059","58","169","47951","3","0","0"
"INDIA","2020-04-02","486","11","22","7900","0","0","1815","67","2545","69","191","55851","3","0","0"
"INDIA","2020-04-03","560","14","39","13394","0","0","2222","80","3105","83","230","69245","3","0","0"
"INDIA","2020-04-04","579","13","56","10705","0","0","2665","93","3684","96","286","79950","3","0","0"
"INDIA","2020-04-05","609","22","43","9584","0","0","3154","90","4293","118","329","89534","3","0","0"
"INDIA","2020-04-06","484","16","65","11534","0","0","3451","93","4777","134","394","101068","3","0","0"
"INDIA","2020-04-07","573","27","75","12947","0","0","3715","114","5350","161","469","114015","3","0","0"
"INDIA","2020-04-08","565","20","96","13904","0","0","3856","123","5915","181","565","127919","3","0","0"
"INDIA","2020-04-09","813","46","70","16991","0","0","4183","158","6728","227","635","144910","3","0","0"
"INDIA","2020-04-10","871","22","151","16420","0","0","4494","166","7599","249","786","161330","3","0","0"
"INDIA","2020-04-11","854","41","186","18044","0","0","4769","194","8453","290","972","179374","3","0","0"
"INDIA","2020-04-12","758","42","114","16374","0","0","4918","214","9211","332","1086","195748","3","0","0"
"INDIA","2020-04-13","1243","27","112","21806","0","0","5677","225","10454","359","1198","217554","3","0","0"
"INDIA","2020-04-14","1031","37","167","27339","0","0","6135","235","11485","396","1365","244893","3","0","0"
